name,title,duration
VbuUqssNW2A,精彩片段》拜登課中國電動車100%重稅 誰杯葛520就是歷史罪人?李顯龍正式交棒黃循財 謝金河:新加坡日本將有巨變!,278.0
rmIIueuXKBY,精彩片段》世界的定局適應通膨世代? 蔡英文將卸任支持度不墜.. 台積電帶領台股站上2萬點 林百里要爭取做AI的龍頭!,486.0
lxXoGtz1UCo,精彩片段》習近平訪歐洲找不到共識? 中國電動車讓泰國有壓力?兩岸一千大台積電打敗騰訊 從電池業看轉型艱辛路..,198.0
H5N1nztmJvg,精彩片段》童子賢核能新方向大辯論 巴菲特警告AI詐騙恐盛行?巴菲特狂拋蘋果股價玄機 馬斯克見李強連扁擔也丟了?,397.0
LRNYCTq_DVQ,精彩片段》貧富差距達66.9倍 謝金河揭台灣財富經2波段重組!台灣錢淹天花板..買爆法拉利? 11萬人資產破億元?,212.0
4kNITo9yc8g,精彩片段》謝金河:切記老人與狗效應 戰爭沒殃及以色列股市?台灣出口潛力股藏資通訊? 厲害了我的中國不強了?,423.0
eQf89RNGg1w,精彩片段》謝金河:台電初步通過強震考驗!相信政者者有福報?,99.0
veCEEY2NG2s,精彩片段》台灣3月對美出口超過中國 有心人士唱衰不了台積電?中國電動車席捲歐洲市場 雷軍誇海口要年產千萬輛!,369.0
G4bhbCy1EVQ,精彩片段》台灣錢淹腳目比過去狂..大買法拉利!私人飛機詢問高! 　不要低估中國製造殺傷力 比亞迪追上特斯拉讓美心碎?,613.0
8J_P1sgyqNY,精彩片段》17年第1次日本結束負利率 老謝曝地緣政治兩奇葩.. 央行升息半碼台灣轉大人? 台電虧千億漲電能接受?美銀:台AI迎5-10年爆發期 微軟超車蘋果是啥訊號?,413.0
FinkN4dhg5g,精彩片段》決勝矽紀元關鍵..霸主保衛戰?晉級熱戰?外卡角逐?ETF狂熱..老謝勸要有耐心 台灣資金浪潮今不得了?,258.0
f6UI4cGY_98,精彩片段》台股2萬點外資新里程碑 企業市值大風吹吹向何方?  台灣錢滿為患別一頭熱? 台積電好但其他還在調整!,624.0
9843-gwMRic,精彩片段》中國加速崩落?日本東山再起?台股2萬點 台積電飆漲?,632.0
C0u4JAQtGnQ,精彩片段》日失落30年重回戰鬥位置 台積電熊本廠如黑船再臨..香港有沒有玩完掀熱戰..匯豐總裁寫下對中懺悔文!,660.0
0pCjlSJrdGM,精彩片段》OpenAI奧特曼7兆晶片夢 孫正義告別馬雲的新航道?老謝:遠雄港是台灣大機會 4月漲電..產業如何調整?,315.0
vKGgUTmAMhA,精彩片段》台積電開春股價一掃陰霾 熊本廠半導體國際試金石?老謝:台積電優勢不斷確立..全球股市這區域跌很慘?,369.0
tN_1KbCHH6g,精彩片段》老謝7年前鐵口直斷恒大必倒 香港中國化成為定局? 恒大破產.百大房氣縮水 2024年兩岸房市何去何從?,439.0
j-iphAS1cxU,精彩片段》台積電領軍台股萬八封關 股民平均賺86萬龍年續漲? 連結美有起色?連結中向下墜? 老謝揭創新高低市場..,471.0
LwTtlAp3tkk,精彩片段》台積電法說再度擊敗預期 去年日賺23億今年會更旺?未來2年台積電一枝獨秀? 魏哲家預估2024年成長20%!,495.0
843SkLv3bt4,精彩片段》昔好看中港股市代價慘烈 台股領先港股差距頻擴大! 阿根廷警告習近平逆行危機 賴清德打破8年魔咒考驗?,455.0
2Vkj8SvhTlk,精彩片段》港股在大跌路上日股大漲 香港逐漸向金融廢墟邁進?諾魯再斷交 老謝:靠錢收買的國家!盡量讓中國去養!,530.0
ypxsMsVllq4,精彩片段》台灣要成長就要有新動能 蔡英文談1根水管救全世界..台將進入再生能源加速期 未來前進或後退你怎麼選?,688.0
ZEC994QCHcA,精彩片段》在野唱衰台戰略迷航7年 老謝用一張表告訴你真相!東協訂單首度超越中國 老謝剖析台灣產業生存之道..,238.0
hbtYN1OPbOY,精彩片段》經濟學人:最珍貴的人才是領袖 2024台灣人如何選擇?2023大振奮外資買超台股 熱錢大舉湧入台灣台幣強升!,346.0
fX334AXEuUU,精彩片段》老謝回憶鄰居送來一具棺材 譏賴清德老家缺同理心!賴清德問侯柯敢捐公益嗎 黎智英受審給台灣啥啟示?,229.0
17dIs61B95k,精彩片段》輝達財報財測全超乎預期 中國介入選舉藍白戰賴蕭?阿根廷變天反共總統上台 經濟變動台灣怎脫穎而出?,584.0
cnMYCR3DAfg,精彩片段》中國電動車大殺四方 美國日本歐洲各國都如臨大敵? 外資賣超台股!但四面八方資金流入台..透露啥訊息?,638.0
h7eC3YqJ8Z8,精彩片段》李克強病逝到火化超迅速 老謝:習權力緊繃超乎想像 美中Q3GDP同為4.9意義差很大? 中國已人窮水乾股冷?,565.0
3v7l6P6RV64,精彩片段》以哈戰爭升高地緣政治風險 從兩巧合看到中俄之間..香港言論自由更緊縮? 秦剛李尚福被免職習一強鬆動?,505.0
I7a5Vpx5jnA,精彩片段》台積電龍潭廠不蓋了!美國再中國出晶片重拳!幕後?從2017到2023年習近平一帶一路..效應已大不如前?,503.0
3kEJXtIWrU0,精彩片段》老謝本周財經點評:美債殖利率拉高!港股情勢不好!德電動車招架不住中國? 呂宗耀剖析全球資金變化!,513.0
5vtUK-hNYB8,精彩片段》軍工展雷虎秀無人機 中華電:市值不上兆董總不加薪!孫正義喊軟銀將統治世界 台積電全球戰略日設第2廠?,562.0
UlVF8L3lByo,精彩片段》何謂中國的執念?台港日壓力? 野島剛.郭國文火線!台出口衰退? 老謝:最差也會有4200億是歷史第3高!,447.0
bz9UQr4rL-c,精彩片段》美猛烈升息壓縮全球經濟 台出口眼前的黑不全是黑?疫情時上市櫃最高年賺4兆 老謝對台出口外銷存信心!,377.0
1vRzBYfXZWA,精彩片段》雷蒙多訪中成果比預期好? 日排核廢水中日死結更緊?老謝:資金撤出中國比以前還難 99%旅客不想去旅遊?,342.0
AezIa60dbQ0,精彩片段》NVIDIA財報表現亮眼 黃仁勳掀起台科技業盛事狂潮!中國又禁台灣芒果報復? 台塑集團頹勢看到什麼教訓?,552.0
Si1cmLovRuo,精彩片段》過去40年黃金時代已過去 李嘉誠7折賣樓釋出啥訊息?中國經濟窘境頻現 4千萬青年失業 香港東方之珠失色..,514.0
OluM9BygYs8,精彩片段》台灣都更之路遙遙! 囤房族又變多 居住正義怎落實? 超慘!恆大爆炸.碧桂園跳票 大摩又大幅調降陸股評級,456.0
D5HcMFo6TVI,精彩片段》美債信評遭調降葉倫不滿 巴菲特指標升171%曝風險!盧明光:美中角力台影響力更大 氫能商機誰拔頭籌?,800.0
c-BCYCICWok,精彩片段》美11次暴力升息影響? 老謝:平常心看全球需求降溫!~AI浪潮持續助攻台灣 緯創異軍突起賣光立訊竟沒傷?!,813.0
